trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.4, 'e': 0.4519999999999995}",25,0,-17.710089048794458,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.4, 'e': 0.4479999999999995}",25,4,-71.66545227024255,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 1}",1
139,False,"{'a': 0.4, 'e': 0.4439999999999995}",20,9,-23.52957492361975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.4, 'e': 0.4399999999999995}",20,0,-100.41397077846256,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
141,False,"{'a': 0.4, 'e': 0.4359999999999995}",25,12,6.227402091302563,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': 0.4319999999999995}",25,0,21.630021653561634,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.4, 'e': 0.4279999999999995}",30,14,-37.693993680043825,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.4239999999999995}",25,0,-69.35446726036804,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
145,False,"{'a': 0.4, 'e': 0.4199999999999995}",30,0,-112.7186868127674,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 2}",0
146,False,"{'a': 0.4, 'e': 0.4159999999999995}",20,16,7.579942076096745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': 0.4119999999999995}",30,21,7.000085250789452,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.4079999999999995}",30,3,-56.27860438657386,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
149,False,"{'a': 0.4, 'e': 0.40399999999999947}",25,2,45.55757450401251,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
