trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,14,-57.068628395444414,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.49599999999999955}",25,4,-63.00167546813273,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.49199999999999955}",20,12,0.855971296126719,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.48799999999999955}",25,0,-84.20425527454495,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.48399999999999954}",20,0,-60.739553593028965,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-15.64263847236076,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.47599999999999953}",30,13,-39.03116165994409,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.47199999999999953}",25,0,-65.40625829080491,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",1
133,False,"{'a': 0.5, 'e': 0.4679999999999995}",20,16,6.882554912360523,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.4639999999999995}",20,9,-4.252912622990388,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,6,-24.8238465704205,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.4559999999999995}",20,6,-37.78511621448109,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.4519999999999995}",20,10,-4.915011219464924,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.4479999999999995}",20,3,-66.23296781102994,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.4439999999999995}",25,17,-8.250823060255437,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,7,-23.23882814766298,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.4359999999999995}",30,20,-18.008566216266154,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.4319999999999995}",25,16,-17.319586511507126,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.4279999999999995}",30,6,-12.499413733791924,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4239999999999995}",25,8,-102.08332720807928,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,15,1.853198377399944,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.4159999999999995}",20,6,17.233705460340833,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.4119999999999995}",30,12,20.615303033815046,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.4079999999999995}",20,0,-41.88079253110245,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.40399999999999947}",25,11,22.53187804556919,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-43.533807351533305,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.39599999999999946}",20,13,14.194451223928526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.39199999999999946}",20,16,8.022643339266747,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.38799999999999946}",20,0,-108.24120579859569,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",1
154,False,"{'a': 0.5, 'e': 0.38399999999999945}",20,2,4.498975769614868,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,13,-43.86363856413826,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.37599999999999945}",20,6,21.72469433885358,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.37199999999999944}",20,4,-56.98440157786495,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.36799999999999944}",30,11,9.772054548773419,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.36399999999999944}",20,0,-21.869980862049445,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,2,-86.04169201224747,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 2}",1
161,False,"{'a': 0.5, 'e': 0.35599999999999943}",20,11,10.502488716953687,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.3519999999999994}",30,12,-31.191976321894682,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.3479999999999994}",20,13,0.11036844236405008,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.3439999999999994}",25,5,-23.5959957930651,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,6.455959823603082,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.3359999999999994}",20,15,-12.195092262494668,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.3319999999999994}",20,0,-58.85983885756448,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.3279999999999994}",20,4,0.20537138840682534,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.3239999999999994}",20,7,-42.23853554392808,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,14,4.627146616912475,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.3159999999999994}",25,13,-25.747218474601535,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.3119999999999994}",30,12,-30.164180031813977,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.3079999999999994}",25,13,-14.510407368001253,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.3039999999999994}",20,0,-66.82634564490428,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,8,3.9039666338771655,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.2959999999999994}",30,18,11.136961425208355,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.29199999999999937}",20,6,6.150485015969625,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.28799999999999937}",20,0,27.297130353339316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.28399999999999936}",30,18,20.76906586472539,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.27999999999999936}",35,21,-47.06380352844174,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.27599999999999936}",20,2,27.182245257578387,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.27199999999999935}",20,0,-1.1610924685650734,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.26799999999999935}",20,4,0.6740367437786514,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.26399999999999935}",30,16,-17.956258392680922,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,9,-6.070814300526606,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.25599999999999934}",20,9,8.694450261974948,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.25199999999999934}",25,20,11.973815734962361,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.24799999999999933}",25,6,0.1400517808361883,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.24399999999999933}",30,21,22.319887160952938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
